hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,92,61.32,0,30,50.599999999996008,0,10.720000000003985,0,0,11.400000000003992,0,15,3,0.10000000000000001,0
1,87,64.340000000000003,0,30,56.999999999999993,0,7.3400000000000105,0,0,0,0,3,3,0.10000000000000001,0
2,83,63.359999999999999,0,30,62.033157894736824,0,1.3268421052631751,0,9.0331578947368349,0,0,3,11.581499999999993,0.38604999999999978,-3.5527136788005009e-15
3,81,61.229999999999997,0,30,61.230000000000004,0,0,0,10.230000000000011,0,0,11.581499999999993,21.300000000000004,0.71000000000000019,-7.1054273576010019e-15
4,82,58,0,30,58,0,0,0,5.9999999999999973,0,0,21.300000000000004,27.000000000000004,0.90000000000000013,2.6645352591003757e-15
5,89,55.299999999999997,0,30,55.300000000000004,0,0,0,0,3.7000000000000006,0,27.000000000000004,23.105263157896104,0.77017543859653681,1.4210854715202004e-14
6,103,55.350000000000001,0,30,55.350000000000001,0,0,0,0,17.649999999999991,0,23.105263157896104,4.5263157894815667,0.1508771929827189,-1.4210854715202004e-14
7,122,54.100000000000001,17.25,50.649999999999991,54.100000000000001,17.25,0,0,0,0,0,4.5263157894815667,4.5263157894815631,0.15087719298271876,-1.4210854715202004e-14
8,139,50.340000000000003,49.479999999999997,37.729999999991996,50.339999999999996,49.480000000000004,0,0,0,1.4500000000079953,0,4.5263157894815631,3,0.10000000000000001,0
9,145,46.689999999999998,86.150000000000006,30,46.690000000000005,86.150000000000006,0,0,17.840000000000007,0,0,3,19.948000000000011,0.66493333333333371,-3.5527136788005009e-15
10,141,44.890000000000001,119.16,30,44.890000000000001,50.009399999994343,0,69.150600000005653,0,16.100600000005645,0,19.948000000000011,3,0.10000000000000001,0
11,134,43.740000000000002,141.91,30,43.739999999999995,85.52315789473684,0,56.386842105263156,25.263157894736846,0,0,3,27.000000000000004,0.90000000000000013,-2.4868995751603507e-14
12,128,41.520000000000003,150,30,41.520000000000003,33.679999999992013,0,116.32000000000798,0,22.800000000007987,0,27.000000000000004,3,0.10000000000000001,0
13,125,39.090000000000003,141.91,30,39.089999999999996,81.17315789473686,0,60.736842105263136,25.263157894736846,0,0,3,27.000000000000004,0.90000000000000013,3.5527136788005009e-15
14,127,39.299999999999997,119.16,30,39.299999999999997,34.938949999992026,0,84.221050000007978,0,22.761050000007984,0,27.000000000000004,3.0409999999999879,0.10136666666666626,1.4210854715202004e-14
15,133,42.07,86.150000000000006,30,42.07,86.150000000000006,0,0,25.220000000000013,0,0,3.0409999999999879,27.000000000000004,0.90000000000000013,-1.4210854715202004e-14
16,143,42.859999999999999,49.479999999999997,50.660000000000004,42.859999999999999,49.480000000000004,0,0,0,0,0,27.000000000000004,27.000000000000004,0.90000000000000013,0
17,154,41.299999999999997,17.25,80.659999999999997,41.299999999999997,17.25,0,0,0,14.790000000000001,0,27.000000000000004,11.431578947373872,0.38105263157912905,-2.8421709430404007e-14
18,160,42.140000000000001,0,110.66,42.140000000000001,0,0,0,0,7.2000000000000091,0,11.431578947373872,3.8526315789554633,0.12842105263184878,2.8421709430404007e-14
19,162,43.409999999999997,0,118.58999999999999,43.410000000000004,0,0,0,0,0,0,3.8526315789554633,3.8526315789554633,0.12842105263184878,0
20,151,46.390000000000001,0,104.61,46.390000000000001,0,0,0,0,0,0,3.8526315789554633,3.8526315789554633,0.12842105263184878,0
21,132,52.109999999999999,0,79.890000000000015,52.109999999999999,0,0,0,0,0,0,3.8526315789554633,3.8526315789554633,0.12842105263184878,0
22,112,54.149999999999999,0,57.850000000000001,54.149999999999999,0,0,0,0,0,0,3.8526315789554633,3.8526315789554633,0.12842105263184878,0
23,99,54.939999999999998,0,55.794072022152136,54.939999999999998,0,0,0,11.734072022152143,0,0,3.8526315789554633,15,0.5,-8.8817841970012523e-15
