hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,92,49.056000000000004,0,42.943999999999988,49.055999999999997,0,0,0,0,0,0,39.999999999999993,39.999999999999972,0.49999999999999967,-1.4210854715202004e-14
1,87,51.472000000000008,0,35.527999999999992,51.471999999999994,0,0,0,0,0,0,39.999999999999972,39.999999999999957,0.49999999999999944,-1.4210854715202004e-14
2,83,50.688000000000002,0,32.312000000000005,50.688000000000002,0,0,0,0,0,0,39.999999999999957,39.999999999999957,0.49999999999999944,0
3,81,48.984000000000002,0,32.016000000000012,48.983999999999995,0,0,0,0,0,0,39.999999999999957,39.999999999999979,0.49999999999999972,0
4,82,46.400000000000006,0,30,46.399999999999999,0,0,0,0,5.5999999999999988,0,39.999999999999979,34.105263157896779,0.42631578947370974,0
5,89,44.240000000000002,0,44.760000000000012,44.240000000000002,0,0,0,0,0,0,34.105263157896779,34.105263157896779,0.42631578947370974,1.4210854715202004e-14
6,103,44.280000000000001,0,42.647999999989374,44.280000000000001,0,0,0,0,16.072000000010618,0,34.105263157896779,17.187368421049399,0.21484210526311748,-1.4210854715202004e-14
7,122,43.280000000000001,13.800000000000001,64.919999999999987,43.280000000000001,13.799999999999999,0,0,0,0,0,17.187368421049399,17.187368421049424,0.21484210526311781,-1.4210854715202004e-14
8,139,40.272000000000006,39.584000000000003,59.143999999999991,40.271999999999998,39.584000000000003,0,0,0,0,0,17.187368421049424,17.187368421049424,0.21484210526311781,0
9,145,37.351999999999997,68.920000000000002,30,37.351999999999997,68.920000000000002,0,0,0,8.7280000000000086,0,17.187368421049424,8,0.10000000000000001,0
10,141,35.911999999999999,95.328000000000003,30,19.993329639873679,95.328000000000003,15.91867036012632,0,4.3213296398736771,0,0,8,12.105263157879994,0.15131578947349994,4.4408920985006262e-15
11,134,34.992000000000004,113.52800000000001,30,30.472000000000005,113.52800000000001,4.5199999999999996,0,40,0,0,12.105263157879994,50.105263157879996,0.62631578947349997,0
12,128,33.216000000000001,120,30,33.216000000000001,24.783999999999992,0,95.216000000000008,0,40.000000000000007,0,50.105263157879996,8,0.10000000000000001,0
13,125,31.272000000000006,113.52800000000001,30,19.072421052631579,113.52800000000001,12.199578947368423,0,37.600421052631582,0,0,8,43.720400000000005,0.54650500000000002,7.1054273576010019e-15
14,127,31.439999999999998,95.328000000000003,30,31.440000000000001,95.328000000000003,0,0,29.767999999999997,0,0,43.720400000000005,72,0.90000000000000002,3.5527136788005009e-15
15,133,33.655999999999999,68.920000000000002,30.423999999999999,33.655999999999999,68.920000000000002,0,0,0,0,0,72,72,0.90000000000000002,0
16,143,34.288000000000004,39.584000000000003,60.423999999999999,34.287999999999997,39.584000000000003,0,0,0,8.7040000000000131,0,72,62.8378947368453,0.78547368421056629,0
17,154,33.039999999999999,13.800000000000001,90.424000000000007,33.039999999999999,13.799999999999999,0,0,0,16.735999999999976,0,62.8378947368453,45.221052631588336,0.56526315789485415,0
18,160,33.712000000000003,0,120,33.712000000000003,0,0,0,0,6.2879999999999869,0,45.221052631588336,38.602105263169619,0.48252631578962024,-2.8421709430404007e-14
19,162,34.728000000000002,0,120,34.728000000000002,0,0,0,0,7.2719999999999967,0,38.602105263169619,30.947368421067036,0.38684210526333795,0
20,151,37.112000000000002,0,113.88799999999999,37.111999999999995,0,0,0,0,0,0,30.947368421067036,30.947368421067036,0.38684210526333795,0
21,132,41.688000000000002,0,90.312000000000012,41.688000000000002,0,0,0,0,0,0,30.947368421067036,30.947368421067036,0.38684210526333795,0
22,112,43.32,0,78.209085872561005,43.32,0,0,0,9.5290858725610068,0,0,30.947368421067036,39.999999999999993,0.49999999999999989,5.3290705182007514e-15
23,99,43.951999999999998,0,55.048000000000002,43.951999999999998,0,0,0,0,0,0,39.999999999999993,39.999999999999993,0.49999999999999989,0
